customer_id,cust_name,cust_email,cust_phone,cust_active,cust_district,cust_postcode,cust_city,cust_country
1,"MARY SMITH",MARY.SMITH@sains_dvd_rentalcustomer.org,28303384290,1,Nagasaki,35200,Sasebo,Japan
2,"PATRICIA JOHNSON",PATRICIA.JOHNSON@sains_dvd_rentalcustomer.org,838635286649,1,California,17886,"San Bernardino","United States"
3,"LINDA WILLIAMS",LINDA.WILLIAMS@sains_dvd_rentalcustomer.org,448477190408,1,Attika,83579,Athenai,Greece
4,"BARBARA JONES",BARBARA.JONES@sains_dvd_rentalcustomer.org,705814003527,1,Mandalay,53561,Myingyan,Myanmar
5,"ELIZABETH BROWN",ELIZABETH.BROWN@sains_dvd_rentalcustomer.org,10655648674,1,Nantou,42399,Nantou,Taiwan
6,"JENNIFER DAVIS",JENNIFER.DAVIS@sains_dvd_rentalcustomer.org,860452626434,1,Texas,18743,Laredo,"United States"
7,"MARIA MILLER",MARIA.MILLER@sains_dvd_rentalcustomer.org,716571220373,1,"Central Serbia",93896,Kragujevac,Yugoslavia
8,"SUSAN WILSON",SUSAN.WILSON@sains_dvd_rentalcustomer.org,657282285970,1,Hamilton,77948,Hamilton,"New Zealand"
9,"MARGARET MOORE",MARGARET.MOORE@sains_dvd_rentalcustomer.org,380657522649,1,Masqat,45844,Masqat,Oman
10,"DOROTHY TAYLOR",DOROTHY.TAYLOR@sains_dvd_rentalcustomer.org,648856936185,1,Esfahan,53628,Esfahan,Iran
11,"LISA ANDERSON",LISA.ANDERSON@sains_dvd_rentalcustomer.org,635297277345,1,Kanagawa,1027,Sagamihara,Japan
12,"NANCY THOMAS",NANCY.THOMAS@sains_dvd_rentalcustomer.org,465887807014,1,Haryana,10672,"Yamuna Nagar",India
13,"KAREN JACKSON",KAREN.JACKSON@sains_dvd_rentalcustomer.org,695479687538,1,Osmaniye,29610,Osmaniye,Turkey
14,"BETTY WHITE",BETTY.WHITE@sains_dvd_rentalcustomer.org,517338314235,1,California,16266,"Citrus Heights","United States"
15,"HELEN HARRIS",HELEN.HARRIS@sains_dvd_rentalcustomer.org,990911107354,1,"Madhya Pradesh",72878,Bhopal,India
16,"SANDRA MARTIN",SANDRA.MARTIN@sains_dvd_rentalcustomer.org,949312333307,0,England,54308,Southend-on-Sea,"United Kingdom"
17,"DONNA THOMPSON",DONNA.THOMPSON@sains_dvd_rentalcustomer.org,407752414682,1,Kalmykia,81766,Elista,"Russian Federation"
18,"CAROL GARCIA",CAROL.GARCIA@sains_dvd_rentalcustomer.org,747791594069,1,Kaduna,43331,Kaduna,Nigeria
